single strand break repair
sulfur amino acid catabolism
sulfur amino acid degradation
sulphur amino acid catabolism
sulphur amino acid transport
down-regulation of DNA transposition
downregulation of DNA transposition
inhibition of DNA transposition
activation of DNA transposition
stimulation of DNA transposition
up-regulation of DNA transposition
upregulation of DNA transposition
regulation of DNA transposition
pre-mRNA splicing factor activity
pyrimidine-dimer repair by photolyase
mitotic DNA repair synthesis
endonucleolytic degradation of DNA
exonucleolytic degradation of DNA
age-dependent response to AOS
age-dependent response to ROI
age-dependent response to ROS
long-chain fatty acid metabolism
CCA tRNA nucleotidyltransferase activity
transfer ribonucleate adenyltransferase activity
transfer ribonucleate adenylyltransferase activity
transfer ribonucleate cytidylyltransferase activity
transfer ribonucleate nucleotidyltransferase activity
transfer RNA adenylyltransferase activity
tRNA 5' leader removal
translation preinitiation complex assembly
translation initiation complex assembly
regulation of glycogen anabolism
regulation of glycogen biosynthesis
regulation of glycogen formation
regulation of glycogen synthesis
regulation of glycogen breakdown
regulation of glycogen catabolism
regulation of glycogen degradation
cellular glucose metabolic process
deoxyribose 1-phosphate catabolic process
vitamin Bh metabolic process
vitamin Bh biosynthetic process
beta-1,4-linked N-acetylglucosamine metabolic process
beta-1,4-linked N-acetylglucosamine biosynthetic process
beta-1,4-linked N-acetylglucosamine catabolic process
cell wall chitin metabolism
cell wall chitin breakdown
cell wall chitin catabolism
cell wall chitin degradation
sialic acid metabolic process
sugar alcohol (hexitol) metabolism
beta-1,3 glucan metabolic process
beta-1,3 glucan catabolic process
beta-1,6 glucan metabolic process
beta-1,6 glucan catabolic process
acetyl coenzyme A metabolism
acetyl-CoA anabolism from pyruvate
acetyl-CoA formation from pyruvate
acetyl-CoA synthesis from pyruvate
regulation of carbohydrate metabolism
regulation of glucose biosynthesis
cellular nucleobase metabolic process
cellular nucleoside metabolic process
cellular nucleotide metabolic process
cellular nucleic acid metabolism
nucleic acid metabolic process
regulation of nucleotide metabolism
purine base metabolic process
purine base catabolic process
3',5' cAMP biosynthetic process
adenosine 3',5'-cyclophosphate biosynthetic process
cyclic AMP biosynthetic process
dATP anabolism from ADP
dATP formation from ADP
dATP synthesis from ADP
dGTP anabolism from dGDP
dGTP formation from dGDP
dGTP synthesis from dGDP
'de novo' IMP anabolism
'de novo' IMP biosynthesis
'de novo' IMP formation
'de novo' IMP synthesis
'de novo' purine biosynthesis
3',5' cAMP catabolic process
adenosine 3',5'-cyclophosphate catabolic process
cyclic AMP catabolic process
GMP breakdown to IMP
GMP degradation to IMP
GMP breakdown to guanine
GMP degradation to guanine
pyrimidine base metabolic process
pyrimidine base catabolic process
DNA unwinding during replication
DNA-dependent DNA replication initiation
mismatch repair MutL-like pathway
initiation of DNA-dependent transcription
initiation of transcription DNA-dependent
transcription initiation factor activity
termination of DNA-dependent transcription
termination of transcription DNA-dependent
transcription termination factor activity
regulation of gene-specific transcription
regulation of transcription DNA-dependent
35S primary transcript processing
cleavage stimulation factor activity
regulation of protein anabolism
regulation of protein biosynthesis
regulation of protein formation
regulation of protein synthesis
regulation of translational accuracy
nascent chain protein folding
protein amino acid phosphorylation
protein amino acid dephosphorylation
protein amino acid ADP-ribosylation
protein amino acid acetylation
protein amino acid deacetylation
protein amino acid sulfation
protein amino acid sulphation
protein amino acid methylation
protein amino acid demethylation
protein amino acid glycosylation
N-linked glycan precursor biosynthesis
protein amino acid lipidation
GPI/GSI anchor metabolic process
GPI/GSI anchor biosynthetic process
amino acid metabolic process
cellular amino acid metabolism
cysteine anabolism from serine
cysteine formation from serine
cysteine synthesis from serine
glutamic acid metabolic process
glutamic acid biosynthetic process
glutamic acid catabolic process
glutamate breakdown via 2-oxoglutarate
glutamate catabolism via 2-ketoglutarate
glutamate catabolism via alpha-ketoglutarate
glutamate catabolism via alpha-oxoglutarate
glutamate degradation via 2-oxoglutarate
glutamate degradation via 4-aminobutyrate
glutamate degradation via GABA
methionine and threonine metabolism
S-adenosyl methionine biosynthetic process
tryptophan catabolism using tryptophanase
modified amino acid metabolism
melanin anabolism from tyrosine
melanin formation from tyrosine
melanin synthesis from tyrosine
polyunsaturated fatty acid biosynthesis
unsaturated fatty acid anabolism
unsaturated fatty acid biosynthesis
unsaturated fatty acid formation
unsaturated fatty acid synthesis
phosphatidylcholine biosynthesis from choline
inositol phosphorylceramide metabolic process
mannose inositol phosphoceramide metabolism
mannose-inositol-P-ceramide (MIPC) metabolic process
mannosyl diphosphorylinositol ceramide metabolism
aromatic hydrocarbon metabolic process
one carbon metabolic process
one-carbon transfer metabolic process
group transfer coenzyme metabolism
NAD (reduced) metabolic process
reduced NAD metabolic process
NAD phosphorylation and dephosphorylation
NADP (oxidized) metabolic process
NADP (reduced) metabolic process
oxidized NADP metabolic process
reduced NADP metabolic process
NADP (oxidized) biosynthetic process
NADP (reduced) biosynthetic process
oxidized NADP biosynthetic process
reduced NADP biosynthetic process
NADP (oxidized) catabolic process
NADP (reduced) catabolic process
oxidized NADP catabolic process
reduced NADP catabolic process
coenzyme Q metabolic process
coenzyme Q biosynthetic process
coenzyme Q10 biosynthetic process
coenzyme Q6 biosynthetic process
coenzyme Q8 biosynthetic process
coenzyme Q9 biosynthetic process
oxidized flavin-adenine dinucleotide biosynthesis
folate and derivative metabolism
folate-containing compound metabolic process
folic acid-containing compound metabolism
vitamin B7 metabolic process
vitamin H metabolic process
vitamin B3 metabolic process
vitamin B2 metabolic process
vitamin G metabolic process
vitamin B1 metabolic process
molybdenum cofactor biosynthetic process
haem a biosynthetic process
haem b biosynthetic process
haem c biosynthetic process
regulation of sulphur utilization
oxygen free radical metabolism
superoxide free radical metabolism
auxiliary transport protein activity
transport accessory protein activity
di-valent inorganic cation transport
tri-valent inorganic cation transport
mitochondrial sodium/calcium ion exchange
high-affinity iron ion transport
purine base transmembrane transport
intracellular iron ion retention
intracellular iron ion sequestering
intracellular iron ion sequestration
intracellular iron ion storage
regulation of cell volume
copper-induced intracellular protein transport
vesicle docking during exocytosis
response to abiotic stress
response to biotic stress
cellular DNA damage response
response to genotoxic stress
heat shock protein activity
organelle organization and biogenesis
cytoskeletal organization and biogenesis
cytoskeleton organization and biogenesis
cytoplasm organization and biogenesis
cell adhesion molecule activity
osmolarity sensing signaling pathway
osmolarity sensing signalling pathway
small GTPase-mediated signal transduction
behavioral response to stimulus
behavioural response to stimulus
response to circadian rhythm
4-aminobenzoic acid biosynthetic process
p-aminobenzoic acid biosynthetic process
vitamin Bx biosynthetic process
down-regulation of DNA replication
downregulation of DNA replication
inhibition of DNA replication
protein amino acid alkylation
protein amino acid dealkylation
activation of cell proliferation
stimulation of cell proliferation
up-regulation of cell proliferation
upregulation of cell proliferation
cytochrome c oxidase biogenesis
hypusine anabolism from peptidyl-lysine
hypusine formation from peptidyl-lysine
hypusine synthesis from peptidyl-lysine
amino acid biosynthetic process
cellular amino acid anabolism
cellular amino acid biosynthesis
cellular amino acid formation
cellular amino acid synthesis
oxidative branch pentose pathway
oxidative pentose phosphate pathway
pentose-phosphate pathway oxidative branch
pentose-phosphate pathway non-oxidative branch
amino acid catabolic process
cellular amino acid breakdown
cellular amino acid catabolism
cellular amino acid degradation
lysine anabolism via diaminopimelate
lysine formation via diaminopimelate
lysine synthesis via diaminopimelate
vitamin B7 biosynthetic process
vitamin H biosynthetic process
lipoic acid metabolic process
lipoic acid biosynthetic process
purine base biosynthetic process
regulation of nucleoside metabolism
purine nucleoside monophosphate metabolism
purine nucleoside monophosphate anabolism
purine nucleoside monophosphate biosynthesis
purine nucleoside monophosphate formation
purine nucleoside monophosphate synthesis
purine nucleoside monophosphate breakdown
purine nucleoside monophosphate catabolism
purine nucleoside monophosphate degradation
pyrimidine nucleoside monophosphate metabolism
pyrimidine nucleoside monophosphate anabolism
pyrimidine nucleoside monophosphate biosynthesis
pyrimidine nucleoside monophosphate formation
pyrimidine nucleoside monophosphate synthesis
pyrimidine nucleoside monophosphate breakdown
pyrimidine nucleoside monophosphate catabolism
pyrimidine nucleoside monophosphate degradation
purine nucleoside diphosphate metabolism
purine nucleoside diphosphate anabolism
purine nucleoside diphosphate biosynthesis
purine nucleoside diphosphate formation
purine nucleoside diphosphate synthesis
purine nucleoside diphosphate breakdown
purine nucleoside diphosphate catabolism
purine nucleoside diphosphate degradation
pyrimidine nucleoside diphosphate metabolism
pyrimidine nucleoside diphosphate anabolism
pyrimidine nucleoside diphosphate biosynthesis
pyrimidine nucleoside diphosphate formation
pyrimidine nucleoside diphosphate synthesis
pyrimidine nucleoside diphosphate breakdown
pyrimidine nucleoside diphosphate catabolism
pyrimidine nucleoside diphosphate degradation
purine nucleoside triphosphate metabolism
purine nucleoside triphosphate anabolism
purine nucleoside triphosphate biosynthesis
purine nucleoside triphosphate formation
purine nucleoside triphosphate synthesis
purine nucleoside triphosphate breakdown
purine nucleoside triphosphate catabolism
purine nucleoside triphosphate degradation
pyrimidine nucleoside triphosphate metabolism
pyrimidine nucleoside triphosphate anabolism
pyrimidine nucleoside triphosphate biosynthesis
pyrimidine nucleoside triphosphate formation
pyrimidine nucleoside triphosphate synthesis
pyrimidine nucleoside triphosphate breakdown
pyrimidine nucleoside triphosphate catabolism
pyrimidine nucleoside triphosphate degradation
purine ribonucleoside monophosphate metabolism
purine ribonucleoside monophosphate anabolism
purine ribonucleoside monophosphate biosynthesis
purine ribonucleoside monophosphate formation
purine ribonucleoside monophosphate synthesis
purine ribonucleoside monophosphate breakdown
purine ribonucleoside monophosphate catabolism
purine ribonucleoside monophosphate degradation
purine deoxyribonucleoside monophosphate metabolism
purine deoxyribonucleoside monophosphate anabolism
purine deoxyribonucleoside monophosphate biosynthesis
purine deoxyribonucleoside monophosphate formation
purine deoxyribonucleoside monophosphate synthesis
purine deoxyribonucleoside monophosphate breakdown
purine deoxyribonucleoside monophosphate catabolism
purine deoxyribonucleoside monophosphate degradation
pyrimidine ribonucleoside monophosphate metabolism
pyrimidine ribonucleoside monophosphate anabolism
pyrimidine ribonucleoside monophosphate biosynthesis
pyrimidine ribonucleoside monophosphate formation
pyrimidine ribonucleoside monophosphate synthesis
pyrimidine ribonucleoside monophosphate breakdown
pyrimidine ribonucleoside monophosphate catabolism
pyrimidine ribonucleoside monophosphate degradation
pyrimidine deoxyribonucleoside monophosphate metabolism
pyrimidine deoxyribonucleoside monophosphate anabolism
pyrimidine deoxyribonucleoside monophosphate biosynthesis
pyrimidine deoxyribonucleoside monophosphate formation
pyrimidine deoxyribonucleoside monophosphate synthesis
pyrimidine deoxyribonucleoside monophosphate breakdown
pyrimidine deoxyribonucleoside monophosphate catabolism
pyrimidine deoxyribonucleoside monophosphate degradation
purine ribonucleoside diphosphate metabolism
purine ribonucleoside diphosphate anabolism
purine ribonucleoside diphosphate biosynthesis
purine ribonucleoside diphosphate formation
purine ribonucleoside diphosphate synthesis
purine ribonucleoside diphosphate breakdown
purine ribonucleoside diphosphate catabolism
purine ribonucleoside diphosphate degradation
purine deoxyribonucleoside diphosphate metabolism
purine deoxyribonucleoside diphosphate anabolism
purine deoxyribonucleoside diphosphate biosynthesis
purine deoxyribonucleoside diphosphate formation
purine deoxyribonucleoside diphosphate synthesis
purine deoxyribonucleoside diphosphate breakdown
purine deoxyribonucleoside diphosphate catabolism
purine deoxyribonucleoside diphosphate degradation
pyrimidine ribonucleoside diphosphate metabolism
pyrimidine ribonucleoside diphosphate anabolism
pyrimidine ribonucleoside diphosphate biosynthesis
pyrimidine ribonucleoside diphosphate formation
pyrimidine ribonucleoside diphosphate synthesis
pyrimidine ribonucleoside diphosphate breakdown
pyrimidine ribonucleoside diphosphate catabolism
pyrimidine ribonucleoside diphosphate degradation
pyrimidine deoxyribonucleoside diphosphate metabolism
pyrimidine deoxyribonucleoside diphosphate anabolism
pyrimidine deoxyribonucleoside diphosphate biosynthesis
pyrimidine deoxyribonucleoside diphosphate formation
pyrimidine deoxyribonucleoside diphosphate synthesis
pyrimidine deoxyribonucleoside diphosphate breakdown
pyrimidine deoxyribonucleoside diphosphate catabolism
pyrimidine deoxyribonucleoside diphosphate degradation
purine ribonucleoside triphosphate metabolism
purine ribonucleoside triphosphate anabolism
purine ribonucleoside triphosphate biosynthesis
purine ribonucleoside triphosphate formation
purine ribonucleoside triphosphate synthesis
purine ribonucleoside triphosphate breakdown
purine ribonucleoside triphosphate catabolism
purine ribonucleoside triphosphate degradation
pyrimidine ribonucleoside triphosphate metabolism
pyrimidine ribonucleoside triphosphate anabolism
pyrimidine ribonucleoside triphosphate biosynthesis
pyrimidine ribonucleoside triphosphate formation
pyrimidine ribonucleoside triphosphate synthesis
pyrimidine ribonucleoside triphosphate breakdown
pyrimidine ribonucleoside triphosphate catabolism
pyrimidine ribonucleoside triphosphate degradation
pyrimidine deoxyribonucleoside triphosphate metabolism
pyrimidine deoxyribonucleoside triphosphate anabolism
pyrimidine deoxyribonucleoside triphosphate biosynthesis
pyrimidine deoxyribonucleoside triphosphate formation
pyrimidine deoxyribonucleoside triphosphate synthesis
pyrimidine deoxyribonucleoside triphosphate breakdown
pyrimidine deoxyribonucleoside triphosphate catabolism
pyrimidine deoxyribonucleoside triphosphate degradation
purine deoxyribonucleoside triphosphate metabolism
purine deoxyribonucleoside triphosphate anabolism
purine deoxyribonucleoside triphosphate biosynthesis
purine deoxyribonucleoside triphosphate formation
purine deoxyribonucleoside triphosphate synthesis
purine deoxyribonucleoside triphosphate breakdown
purine deoxyribonucleoside triphosphate catabolism
purine deoxyribonucleoside triphosphate degradation
vitamin B1 biosynthetic process
thiamin diphosphate biosynthetic process
thiamin pyrophosphate biosynthetic process
thiamine pyrophosphate biosynthetic process
vitamin B1 catabolic process
vitamin B2 biosynthetic process
vitamin G biosynthetic process
vitamin B2 catabolic process
vitamin G catabolic process
vitamin K2 metabolic process
vitamin K2 biosynthetic process
vitamin B12 metabolic process
vitamin B12 biosynthetic process
isopentenyl pyrophosphate biosynthetic process
M antigen biosynthetic process
lipopolysaccharide core region anabolism
lipopolysaccharide core region biosynthesis
lipopolysaccharide core region formation
lipopolysaccharide core region synthesis
enterobacterial common antigen anabolism
enterobacterial common antigen biosynthesis
enterobacterial common antigen formation
enterobacterial common antigen synthesis
response to thermal stimulus
cell envelope biosynthetic process
cell wall biosynthetic process
DNA import into cell
protein amino acid biotinylation
response to radiation stimulus
folate and derivative biosynthesis
folate-containing compound biosynthetic process
folic acid-containing compound anabolism
folic acid-containing compound biosynthesis
folic acid-containing compound formation
folic acid-containing compound synthesis
folate and derivative catabolism
folate-containing compound catabolic process
folic acid-containing compound breakdown
folic acid-containing compound catabolism
folic acid-containing compound degradation
response to heat shock
response to water stimulus
NAD (oxidized) biosynthetic process
NAD (reduced) biosynthetic process
nicotinamide adenine dinucleotide biosynthesis
oxidized NAD biosynthetic process
reduced NAD biosynthetic process
vitamin Bt metabolic process
allantoin catabolism via ureidoglycolate
pyridoxal 5' phosphate salvage
perception of external stimulus
perception of abiotic stimulus
perception of biotic stimulus
response to environmental stimulus
indole acetic acid metabolism
indole acetic acid biosynthesis
indole-acetic acid biosynthetic process
gibberellic acid metabolic process
gibberellic acid biosynthetic process
ethene biosynthesis from L-methionine
ethylene biosynthesis from L-methionine
benzyl isoquinoline alkaloid anabolism
benzyl isoquinoline alkaloid biosynthesis
benzyl isoquinoline alkaloid formation
benzyl isoquinoline alkaloid synthesis
terpenoid indole alkaloid anabolism
terpenoid indole alkaloid biosynthesis
terpenoid indole alkaloid formation
terpenoid indole alkaloid synthesis
cinnamylic acid biosynthetic process
phenylacrylic acid biosynthetic process
phenylpropenoic acid biosynthetic process
cinnamic acid ester metabolism
cinnamic acid ester anabolism
cinnamic acid ester biosynthesis
cinnamic acid ester formation
cinnamic acid ester synthesis
cinnamylic acid ester biosynthesis
phenylacrylic acid ester biosynthesis
cinnamylic acid metabolic process
phenylacrylic acid metabolic process
phenylpropenoic acid metabolic process
indoleacetic acid biosynthesis tryptophan-independent
tryptophan-independent IAA biosynthetic process
tryptophan-independent indoleacetic acid anabolism
tryptophan-independent indoleacetic acid biosynthesis
tryptophan-independent indoleacetic acid formation
tryptophan-independent indoleacetic acid synthesis
down-regulation of biosynthetic process
downregulation of biosynthetic process
inhibition of biosynthetic process
negative regulation of anabolism
negative regulation of biosynthesis
negative regulation of formation
negative regulation of synthesis
activation of biosynthetic process
positive regulation of anabolism
positive regulation of biosynthesis
positive regulation of formation
positive regulation of synthesis
stimulation of biosynthetic process
up-regulation of biosynthetic process
upregulation of biosynthetic process
down-regulation of metabolic process
downregulation of metabolic process
inhibition of metabolic process
negative regulation of metabolism
activation of metabolic process
positive regulation of metabolism
stimulation of metabolic process
up-regulation of metabolic process
upregulation of metabolic process
down-regulation of catabolic process
downregulation of catabolic process
inhibition of catabolic process
negative regulation of breakdown
negative regulation of catabolism
negative regulation of degradation
activation of catabolic process
positive regulation of breakdown
positive regulation of catabolism
positive regulation of degradation
stimulation of catabolic process
up-regulation of catabolic process
upregulation of catabolic process
regulation of flavonoid anabolism
regulation of flavonoid biosynthesis
regulation of flavonoid formation
regulation of flavonoid synthesis
regulation of signaling pathway
regulation of signalling pathway
activation of signal transduction
stimulation of signal transduction
up-regulation of signal transduction
upregulation of signal transduction
down-regulation of signal transduction
downregulation of signal transduction
inhibition of signal transduction
cell growth and/or maintenance
response to heavy metal
acetate fermentation to butyrate
acetate fermentation to ethanol
acetate fermentation to acetone
acetate fermentation to butanol
anaerobic benzoate catabolic process
proline breakdown to glutamate
proline degradation to glutamate
cytochrome b6f complex biogenesis
regulation of protein expression
coenzyme F430 metabolic process
heparan sulfate proteoglycan anabolism
heparan sulfate proteoglycan biosynthesis
heparan sulfate proteoglycan formation
heparan sulfate proteoglycan synthesis
heparan sulphate proteoglycan biosynthesis
heparin proteoglycan biosynthetic process
quaternary ammonium compound transport
branched-chain amino-acid anion transport
branched-chain amino-acid anions transport
pyrimidine base transmembrane transport
purine nucleoside membrane transport
vitamin B5 metabolic process
vitamin B5 biosynthetic process
vitamin B5 catabolic process
formic acid biosynthetic process
guanosine tetraphosphate (5'-ppGpp-3') metabolism
guanosine tetraphosphate (5'-ppGpp-3') biosynthesis
guanosine tetraphosphate (5'-ppGpp-3') catabolism
guanosine pentaphosphate (5'-pppGpp-3') metabolism
guanosine pentaphosphate (5'-pppGpp-3') biosynthesis
guanosine pentaphosphate (5'-pppGpp-3') catabolism
autotrophic CO2 fixation pathway
cell organization and biogenesis
anabolic carbohydrate metabolic process
catabolic carbohydrate metabolic process
peptidolysis during protein maturation
protein maturation by proteolysis
protein amino acid flavinylation
protein amino acid nitrosylation
cytochrome bc(1) complex assembly
cytochrome bc(1) complex biogenesis
protein biosynthesis inhibitor activity
peptidyl-diphthine anabolism from peptidyl-histidine
peptidyl-diphthine formation from peptidyl-histidine
peptidyl-diphthine synthesis from peptidyl-histidine
peptidyl-diphthamide anabolism from peptidyl-histidine
peptidyl-diphthamide formation from peptidyl-histidine
peptidyl-diphthamide synthesis from peptidyl-histidine
2-pyrrolidone-5-carboxylic acid biosynthetic process
protein amino acid amidation
peptidyl-L-3',4'-dihydroxyphenylalanine anabolism from peptidyl-tyrosine
peptidyl-L-3',4'-dihydroxyphenylalanine formation from peptidyl-tyrosine
peptidyl-L-3',4'-dihydroxyphenylalanine synthesis from peptidyl-tyrosine
peptidyl-L-2',4',5'-topaquinone anabolism from peptidyl-tyrosine
peptidyl-L-2',4',5'-topaquinone formation from peptidyl-tyrosine
peptidyl-L-2',4',5'-topaquinone synthesis from peptidyl-tyrosine
protein amino acid bromination
protein amino acid iodination
protein amino acid halogenation
peptidyl-(Z)-dehydrobutyrine anabolism from peptidyl-threonine
peptidyl-(Z)-dehydrobutyrine formation from peptidyl-threonine
peptidyl-(Z)-dehydrobutyrine synthesis from peptidyl-threonine
protein amino acid cinnamylation
peptidyl-citrulline anabolism from peptidyl-arginine
peptidyl-citrulline formation from peptidyl-arginine
peptidyl-citrulline synthesis from peptidyl-arginine
protein amino acid adenylylation
protein amino acid hydroxylation
oxazole or thiazole anabolism
oxazole or thiazole biosynthesis
oxazole or thiazole formation
oxazole or thiazole synthesis
keratan sulphate biosynthetic process
peptide heterocycle biosynthetic process
protein amino acid oxidation
peptidyl-L-3',4',5'-trihydroxyphenylalanine anabolism from peptidyl-tyrosine
peptidyl-L-3',4',5'-trihydroxyphenylalanine formation from peptidyl-tyrosine
peptidyl-L-3',4',5'-trihydroxyphenylalanine synthesis from peptidyl-tyrosine
peptidyl-1-thioglycine anabolism from peptidyl-glycine
peptidyl-1-thioglycine formation from peptidyl-glycine
peptidyl-1-thioglycine synthesis from peptidyl-glycine
protein amino acid nucleotidylation
protein amino acid uridylylation
protein amino acid desulfurisation
protein amino acid desulfurization
protein amino acid desulphurisation
protein amino acid desulphurization
protein-haem linkage via 3'-L-histidine
protein amino acid polyamination
coenzyme pyrroloquinoline-quinone biosynthetic process
protein amino acid octanoylation
protein amino acid carboxylation
protein amino acid phosphopantetheinylation
peptidyl-S-farnesyl-L-cysteine anabolism from peptidyl-cysteine
peptidyl-S-farnesyl-L-cysteine formation from peptidyl-cysteine
peptidyl-S-farnesyl-L-cysteine synthesis from peptidyl-cysteine
peptidyl-S-12-hydroxyfarnesyl-L-cysteine anabolism from peptidyl-cysteine
peptidyl-S-12-hydroxyfarnesyl-L-cysteine formation from peptidyl-cysteine
peptidyl-S-12-hydroxyfarnesyl-L-cysteine synthesis from peptidyl-cysteine
peptidyl-S-geranylgeranyl-L-cysteine anabolism from peptidyl-cysteine
peptidyl-S-geranylgeranyl-L-cysteine formation from peptidyl-cysteine
peptidyl-S-geranylgeranyl-L-cysteine synthesis from peptidyl-cysteine
peptidyl-S-palmitoyl-L-cysteine anabolism from peptidyl-cysteine
peptidyl-S-palmitoyl-L-cysteine formation from peptidyl-cysteine
peptidyl-S-palmitoyl-L-cysteine synthesis from peptidyl-cysteine
peptidyl-S-diacylglycerol-L-cysteine anabolism from peptidyl-cysteine
peptidyl-S-diacylglycerol-L-cysteine formation from peptidyl-cysteine
peptidyl-S-diacylglycerol-L-cysteine synthesis from peptidyl-cysteine
protein amino acid carboxyethylation
protein amino acid dehydration
protein amino acid formylation
protein amino acid guanylylation
protein amino acid deamination
peptidyl-N4-hydroxymethyl-L-asparagine anabolism from peptidyl-asparagine
peptidyl-N4-hydroxymethyl-L-asparagine formation from peptidyl-asparagine
peptidyl-N4-hydroxymethyl-L-asparagine synthesis from peptidyl-asparagine
protein amino acid glucuronylation
protein amino acid tyrosinylation
protein amino acid succinylation
peptidyl-O-(sn-1-glycerophosphoryl)-L-serine anabolism from peptidyl-serine
peptidyl-O-(sn-1-glycerophosphoryl)-L-serine formation from peptidyl-serine
peptidyl-O-(sn-1-glycerophosphoryl)-L-serine synthesis from peptidyl-serine
peptidyl-N6-pyruvic acid 2-iminyl-L-lysine anabolism
peptidyl-N6-pyruvic acid 2-iminyl-L-lysine biosynthesis
peptidyl-N6-pyruvic acid 2-iminyl-L-lysine formation
peptidyl-N6-pyruvic acid 2-iminyl-L-lysine synthesis
protein amino acid prenylation
protein amino acid farnesylation
protein amino acid geranylgeranylation
protein amino acid palmitoylation
protein amino acid esterification
protein amino acid myristoylation
protein amino acid glucuronidation
protein amino acid O-glucuronidation
anaerobic carbon tetrachloride metabolism
diphenylene sulfide metabolic process
organic ether metabolic process
methyl ether metabolic process
methyl tert-butyl ether metabolism
dimethyl sulphoxide metabolic process
dodecyl sulphate metabolic process
gallic acid metabolic process
mandelic acid metabolic process
methanesulphonic acid metabolic process
methyl ethyl ketone metabolism
aerobic organosilicone metabolic process
anaerobic organosilicone metabolic process
phenanthrene breakdown via trans-9(R),10(R)-dihydrodiolphenanthrene
phenanthrene degradation via trans-9(R),10(R)-dihydrodiolphenanthrene
phenanthrene breakdown via trans-9(S),10(S)-dihydrodiolphenanthrene
phenanthrene degradation via trans-9(S),10(S)-dihydrodiolphenanthrene
carbolic acid metabolic process
aerobic phenol-containing compound metabolism
hydrocinnamic acid metabolic process
phthalic acid metabolic process
thiocyanic acid metabolic process
anaerobic DDT metabolic process
vanillic aldehyde metabolic process
non-ribosomal peptide biosynthetic process
regulation of lipid metabolism
regulation of steroid metabolism
regulation of nucleobase metabolism
regulation of phosphate metabolism
D-lactate biosynthesis from methylglyoxal
methylglyoxal breakdown to D-lactate
methylglyoxal degradation to D-lactate
lactate anabolism from pyruvate
lactate formation from pyruvate
lactate synthesis from pyruvate
pyruvate fermentation to lactate
D(-)-lactate anabolism from pyruvate
D(-)-lactate formation from pyruvate
D(-)-lactate synthesis from pyruvate
L(+)-lactate anabolism from pyruvate
L(+)-lactate formation from pyruvate
L(+)-lactate synthesis from pyruvate
aerobic vitamin B12 biosynthesis
cobalamin biosynthetic process aerobic
vitamin B12 biosynthesis aerobic
anaerobic vitamin B12 biosynthesis
cobalamin biosynthetic process anaerobic
vitamin B12 biosynthesis anaerobic
glycine anabolism from serine
glycine formation from serine
glycine synthesis from serine
asparagine anabolism from oxaloacetate
asparagine formation from oxaloacetate
asparagine synthesis from oxaloacetate
asparagine anabolism from cysteine
asparagine formation from cysteine
asparagine synthesis from cysteine
L-alanine anabolism from pyruvate
L-alanine formation from pyruvate
L-alanine synthesis from pyruvate
L-alanine anabolism via ornithine
L-alanine formation via ornithine
L-alanine synthesis via ornithine
L-methionine anabolism from S-adenosylmethionine
L-methionine formation from S-adenosylmethionine
L-methionine salvage from S-adenosylmethionine
L-methionine synthesis from S-adenosylmethionine
N-trimethylglycine biosynthesis from choline
N-trimethylglycine biosynthesis from glycine
isopentenyl diphosphate biosynthesis mevalonate-independent
mevalonate-independent isopentenyl diphosphate biosynthesis
vitamin Bh catabolic process
oxidation of lead sulfide
anaerobic gallic acid catabolism
cysteine anabolism via cystathionine
cysteine formation via cystathionine
cysteine synthesis via cystathionine
cysteine anabolism via S-sulfo-L-cysteine
cysteine biosynthesis via S-sulpho-L-cysteine
cysteine formation via S-sulfo-L-cysteine
cysteine synthesis via S-sulfo-L-cysteine
methane biosynthesis from acetate
methane biosynthesis from methanol
gallic acid catabolic process
gallate breakdown via 2-pyrone-4,6-dicarboxylate
gallate degradation via 2-pyrone-4,6-dicarboxylate
gallate breakdown via 4-carboxy-2-hydroxhexa-2,3-dienedioate
gallate degradation via 4-carboxy-2-hydroxhexa-2,3-dienedioate
carbon monoxide dehydrogenase pathway
sulfate reduction APS pathway
sulphate reduction APS pathway
disproportionation of elemental sulphur
sulphur oxidation ferric ion-dependent
acetyl-CoA anabolism from acetate
acetyl-CoA formation from acetate
acetyl-CoA synthesis from acetate
acetyl-CoA anabolism from ethanol
acetyl-CoA formation from ethanol
acetyl-CoA synthesis from ethanol
aromatic hydrocarbon biosynthetic process
aromatic hydrocarbon catabolic process
tryptophan breakdown to indole-3-acetate
tryptophan degradation to indole-3-acetate
tryptophan breakdown to kynurenine
tryptophan degradation to kynurenine
tryptophan breakdown to acetyl-CoA
tryptophan degradation to acetyl-CoA
tryptophan breakdown to catechol
tryptophan degradation to catechol
tyrosine breakdown to fumarate
tyrosine degradation to fumarate
tyrosine breakdown to phosphoenolpyruvate
tyrosine degradation to phosphoenolpyruvate
L-cysteine breakdown to hypotaurine
L-cysteine degradation to hypotaurine
L-cysteine breakdown to pyruvate
L-cysteine degradation to pyruvate
L-cysteine breakdown to taurine
L-cysteine degradation to taurine
L-cysteine breakdown via cystine
L-cysteine degradation via cystine
methionine breakdown to succinyl-CoA
methionine degradation to succinyl-CoA
methionine breakdown via 2-oxobutanoate
methionine degradation via 2-oxobutanoate
glutamine breakdown to fumarate
glutamine degradation to fumarate
glycine breakdown to creatine
glycine degradation to creatine
ornithine breakdown via proline
ornithine degradation via proline
ornithine breakdown by decarboxylation
ornithine degradation by decarboxylation
L-lysine breakdown to acetyl-CoA
L-lysine degradation to acetyl-CoA
L-lysine breakdown to acetate
